City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
takoradi,4.88,-1.76,76.98,89,28,8.1,GH,1603585868
sambava,-14.27,50.17,71.51,82,82,9.55,MG,1603585868
korla,41.76,86.15,42.01,77,21,3.0,CN,1603585678
pontianak,-0.03,109.33,82.2,77,93,2.33,ID,1603585870
zhob,31.34,69.45,50.5,42,0,4.05,PK,1603585870
houston,29.76,-95.36,68.0,63,90,3.36,US,1603585461
normandin,48.83,-72.53,33.8,64,90,9.17,CA,1603585870
rio grande,-32.03,-52.1,69.01,87,59,8.41,BR,1603585594
pisco,-13.7,-76.22,63.0,82,0,14.99,PE,1603585871
savinka,50.08,47.1,56.48,78,100,5.12,RU,1603585871
adre,13.47,22.2,73.45,24,0,11.21,TD,1603585871
hobart,-42.88,147.33,54.0,70,75,11.41,AU,1603585590
tuatapere,-46.13,167.68,69.69,53,100,12.41,NZ,1603585872
qaanaaq,77.48,-69.36,17.04,91,100,12.39,GL,1603585872
teahupoo,-17.83,-149.27,84.2,70,75,6.93,PF,1603585873
malim,7.45,123.43,76.55,92,100,5.17,PH,1603585873
georgetown,5.41,100.34,78.8,88,20,2.24,MY,1603585427
ponta do sol,32.67,-17.1,64.4,72,20,4.7,PT,1603585809
nanortalik,60.14,-45.24,32.72,89,100,5.08,GL,1603585874
norman wells,65.28,-126.83,21.2,92,75,4.7,CA,1603585874
kuytun,54.34,101.5,30.38,92,100,19.17,RU,1603585874
fortuna,40.6,-124.16,55.0,76,1,9.17,US,1603585857
aljezur,37.32,-8.8,59.45,83,0,5.79,PT,1603585875
bilma,18.69,12.92,74.05,18,0,9.4,NE,1603585875
constitucion,-35.33,-72.42,53.28,86,100,8.46,CL,1603585876
mount gambier,-37.83,140.77,53.6,46,75,21.92,AU,1603585876
nouadhibou,20.93,-17.03,73.4,64,0,16.11,MR,1603585876
fairbanks,64.84,-147.72,30.99,68,90,1.97,US,1603585833
saint-philippe,-21.36,55.77,68.0,56,0,5.82,RE,1603585876
bonfim,3.08,-59.95,82.44,64,26,5.95,BR,1603585877
salinas,36.68,-121.66,69.8,52,1,9.17,US,1603585863
sibolga,1.74,98.78,77.25,78,100,2.57,ID,1603585673
carballo,43.21,-8.69,60.8,87,75,8.05,ES,1603585877
galesong,-5.32,119.37,84.2,79,20,3.36,ID,1603585878
sao felix do xingu,-6.64,-51.99,72.25,94,87,1.36,BR,1603585878
bonavista,48.65,-53.11,48.99,87,100,15.01,CA,1603585733
coxim,-18.51,-54.76,83.08,59,0,2.28,BR,1603585879
nome,64.5,-165.41,37.99,86,90,9.17,US,1603585833
salinopolis,-0.61,-47.36,79.65,81,0,10.38,BR,1603585879
patitirion,39.15,23.87,64.99,51,100,1.99,GR,1603585879
sorland,67.67,12.69,42.21,77,96,21.72,NO,1603585881
constitucion,-35.33,-72.42,53.28,86,100,8.46,CL,1603585876
esperance,-33.87,121.9,60.8,63,0,16.11,AU,1603585817
namibe,-15.2,12.15,67.71,82,82,4.25,AO,1603585812
vao,-22.67,167.48,73.31,79,100,13.82,NC,1603585881
quchan,37.11,58.51,40.44,67,0,3.58,IR,1603585868
washougal,45.58,-122.35,48.99,57,75,19.46,US,1603585710
acapulco,16.86,-99.89,84.2,83,40,6.93,MX,1603585810
dudinka,69.41,86.18,12.2,92,75,8.95,RU,1603585678
talnakh,69.49,88.4,12.2,92,75,8.95,RU,1603585882
arlit,18.74,7.39,77.74,16,0,8.01,NE,1603585682
haizhou,34.58,119.13,58.59,52,77,6.51,CN,1603585883
bundaberg,-24.85,152.35,82.0,61,75,16.11,AU,1603585883
korostyshiv,50.32,29.06,49.66,94,97,7.67,UA,1603585672
vostok,46.49,135.88,31.23,99,100,4.99,RU,1603585884
pedasi,7.53,-80.03,78.55,86,100,14.45,PA,1603585884
severo-kurilsk,50.68,156.12,47.23,93,100,11.23,RU,1603585841
hamilton,39.18,-84.53,48.2,70,20,3.36,US,1603585686
vinh,18.67,105.67,70.32,74,100,5.53,VN,1603585885
avarua,-21.21,-159.78,75.2,73,40,13.87,CK,1603585649
sao joao da barra,-21.64,-41.05,72.14,93,100,16.78,BR,1603585861
meulaboh,4.14,96.13,74.08,95,100,6.53,ID,1603585812
wodonga,-36.12,146.88,57.99,58,40,13.87,AU,1603585885
gat,31.61,34.76,78.01,61,75,5.82,IL,1603585886
nanyang,32.99,112.53,57.02,47,52,0.65,CN,1603585610
olinda,-8.01,-34.86,80.6,74,75,8.05,BR,1603585886
goundi,9.36,17.37,78.04,70,90,1.95,TD,1603585886
soe,-9.86,124.28,86.25,45,5,1.79,ID,1603585887
watertown,42.37,-71.18,57.2,71,1,11.41,US,1603585887
reporoa,-38.43,176.35,70.0,76,61,3.0,NZ,1603585887
prince rupert,54.32,-130.32,44.6,33,1,3.36,CA,1603585844
katsuura,35.13,140.3,66.0,42,75,17.22,JP,1603585707
ancud,-41.87,-73.82,46.0,93,40,5.82,CL,1603585888
comodoro rivadavia,-45.87,-67.5,60.8,77,75,2.24,AR,1603585785
novopskov,49.55,39.09,53.85,84,99,7.78,UA,1603585889
coari,-4.08,-63.14,77.5,89,88,5.82,BR,1603585595
pare,-7.77,112.2,83.61,69,75,4.5,ID,1603585890
wagar,16.15,36.2,83.98,40,0,6.55,SD,1603585890
pauini,-7.71,-66.98,74.62,95,100,2.95,BR,1603585891
piacabucu,-10.41,-36.43,77.43,78,83,8.99,BR,1603585892
metlaltoyuca,20.73,-97.85,82.4,74,5,9.17,MX,1603585892
leningradskiy,69.38,178.42,23.95,92,0,9.42,RU,1603585892
cabedelo,-6.98,-34.83,77.0,88,75,4.7,BR,1603585893
padang,-0.95,100.35,80.83,72,94,1.36,ID,1603585893
college,64.86,-147.8,30.99,73,75,1.79,US,1603585893
maniitsoq,65.42,-52.9,23.18,86,0,9.19,GL,1603585893
saint-michel-des-saints,46.68,-73.92,31.68,92,100,7.09,CA,1603585894
luganville,-15.53,167.17,82.4,74,75,10.29,VU,1603585809
haines junction,60.75,-137.51,28.29,75,100,1.68,CA,1603585689
sakata,38.92,139.85,57.2,76,75,26.4,JP,1603585894
merauke,-8.47,140.33,85.35,68,7,5.77,ID,1603585894
harper,4.38,-7.72,77.41,88,0,6.06,LR,1603585895
la ronge,55.1,-105.28,24.8,58,90,10.29,CA,1603585895
medeiros neto,-17.37,-40.22,71.92,88,100,9.01,BR,1603585895
mikhaylovka,50.06,43.24,55.99,87,100,1.99,RU,1603585895
honiara,-9.43,159.95,87.8,84,20,5.82,SB,1603585664
tura,25.52,90.22,71.49,98,45,4.27,IN,1603585873
mount isa,-20.73,139.5,77.0,36,0,13.87,AU,1603585896
hualmay,-11.1,-77.61,62.69,83,18,7.87,PE,1603585731
kaputa,-8.47,29.66,74.35,58,33,1.54,ZM,1603585897
kattivakkam,13.22,80.32,80.6,94,75,2.24,IN,1603585897
solnechnyy,50.72,136.63,37.42,89,100,17.74,RU,1603585686
baykit,61.67,96.37,25.34,96,100,2.3,RU,1603585898
beringovskiy,63.05,179.32,31.59,95,98,14.29,RU,1603585898
namatanai,-3.67,152.43,85.35,66,26,2.24,PG,1603585899
ikongo,-21.88,47.43,64.04,89,88,1.19,MG,1603585899
barra,-11.09,-43.14,82.06,52,100,4.9,BR,1603585900
mocuba,-16.84,36.99,66.36,95,0,2.17,MZ,1603585900
turukhansk,65.82,87.98,8.73,95,100,5.32,RU,1603585804
japura,-0.32,102.35,76.37,90,99,0.89,ID,1603585900
hamilton,39.18,-84.53,48.2,70,20,3.36,US,1603585686
filadelfia,39.95,-75.16,59.0,62,75,16.11,US,1603585778
san policarpo,12.18,125.51,78.44,89,100,14.27,PH,1603585901
gornopravdinsk,60.05,69.9,25.25,97,100,10.76,RU,1603585901
sulangan,11.14,123.72,82.2,79,100,15.35,PH,1603585902
husavik,66.04,-17.34,41.0,80,90,18.34,IS,1603585902
mazagao,-0.12,-51.29,84.2,79,20,9.17,BR,1603585902
puerto ayacucho,5.66,-67.62,76.24,87,80,4.12,VE,1603585903
marang,5.21,103.21,78.8,88,20,3.36,MY,1603585903
karratha,-20.74,116.85,78.01,49,0,11.16,AU,1603585876
byron bay,-28.65,153.62,81.0,65,5,6.93,AU,1603585804
yebaishou,41.4,119.64,52.63,38,92,2.84,CN,1603585904
samarai,-10.62,150.67,81.75,78,51,4.03,PG,1603585904
otane,-39.88,176.63,75.99,55,52,5.99,NZ,1603585904
rafai,4.95,23.92,69.82,98,100,1.7,CF,1603585905
ostrovnoy,68.05,39.51,31.59,97,100,12.26,RU,1603585905
monrovia,6.3,-10.8,77.0,94,40,7.23,LR,1603585647
kaniama,-7.57,24.18,66.13,94,66,2.93,CD,1603585905
san patricio,28.02,-97.52,71.6,53,20,2.95,US,1603585849
mahibadhoo,3.78,72.97,82.26,78,91,13.09,MV,1603585842
rosario do sul,-30.26,-54.91,69.37,87,0,7.99,BR,1603585906
xanlar,40.59,46.32,53.6,71,20,6.93,AZ,1603585906
flinders,-34.58,150.86,57.99,72,100,5.01,AU,1603585906
port shepstone,-30.74,30.45,69.06,88,8,8.25,ZA,1603585907
praia da vitoria,38.73,-27.07,64.0,88,20,17.09,PT,1603585907
lagoa,39.05,-27.98,65.21,73,79,18.72,PT,1603585907
boralday,43.36,76.86,30.2,86,20,4.47,KZ,1603585908
kawalu,-7.38,108.21,73.96,90,100,1.3,ID,1603585908
ranot,7.78,100.32,80.46,81,97,5.53,TH,1603585908
touros,-5.2,-35.46,77.0,88,40,4.7,BR,1603585908
tessalit,20.2,1.01,78.03,17,0,7.52,ML,1603585850
bara,10.37,10.73,76.32,30,100,5.68,NG,1603585909
brunico,46.8,11.94,44.01,87,0,1.61,IT,1603585909
heihe,50.24,127.49,37.4,47,0,11.18,CN,1603585909
semnan,35.57,53.4,50.14,54,0,0.51,IR,1603585909
tautira,-17.73,-149.15,84.2,70,75,6.93,PF,1603585910
tambun,-6.26,107.07,84.0,83,100,5.82,ID,1603585910
clyde river,70.47,-68.59,19.4,79,90,8.05,CA,1603585910
ilulissat,69.22,-51.1,19.4,57,20,16.11,GL,1603585720
sinnamary,5.38,-52.95,81.28,79,100,10.98,GF,1603585910
tiksi,71.69,128.87,9.93,91,100,27.16,RU,1603585911
requena,39.49,-1.1,50.0,76,0,1.01,ES,1603585697
lake city,30.19,-82.64,75.99,78,75,4.7,US,1603585911
taoudenni,22.68,-3.98,86.4,13,7,10.27,ML,1603585911
cordoba,-31.41,-64.18,73.99,88,75,6.93,AR,1603585754
ugoofaaru,5.67,73.0,82.78,75,100,10.76,MV,1603585701
tandil,-37.32,-59.13,56.41,94,0,6.82,AR,1603585912
grand forks,47.94,-97.43,26.6,73,90,4.7,US,1603585912
presidencia roque saenz pena,-26.79,-60.44,80.24,58,4,5.5,AR,1603585732
teguldet,57.31,88.17,25.9,96,100,10.4,RU,1603585913
tuburan,6.64,122.27,75.2,88,90,13.87,PH,1603585913
itupiranga,-5.13,-49.33,80.53,59,100,1.25,BR,1603585914
xiaoshi,41.3,124.12,44.6,56,98,4.47,CN,1603585914
makat,47.65,53.35,53.78,92,100,9.73,KZ,1603585914
khasan,42.43,130.64,53.06,43,0,23.58,RU,1603585915
cockburn town,21.46,-71.14,83.66,81,75,19.35,TC,1603585716
salto de pirapora,-23.65,-47.57,67.6,85,83,4.27,BR,1603585915
cockburn town,21.46,-71.14,83.66,81,75,19.35,TC,1603585716
atambua,-9.11,124.89,88.47,52,80,3.11,ID,1603585916
rio cuarto,-33.13,-64.35,75.2,69,75,14.99,AR,1603585832
victoria,22.29,114.16,75.0,65,98,20.92,HK,1603585689
hokitika,-42.72,170.97,59.99,96,100,10.71,NZ,1603585916
paravola,38.62,21.52,55.4,93,40,0.56,GR,1603585916
jalu,29.03,21.55,62.78,78,0,7.58,LY,1603585917
saint-ambroise,48.55,-71.33,37.99,64,90,10.29,CA,1603585917
paracuru,-3.41,-39.03,81.0,77,16,23.0,BR,1603585918
lerwick,60.15,-1.15,50.0,81,0,11.41,GB,1603585918
sioux lookout,50.1,-91.92,24.8,85,90,6.93,CA,1603585647
aksha,50.28,113.29,34.97,83,100,2.75,RU,1603585919
aswan,24.09,32.91,72.05,34,0,14.41,EG,1603585919
minab,27.15,57.08,73.4,24,0,6.93,IR,1603585919
sobolevo,54.43,31.9,44.58,94,99,9.13,RU,1603585920
chokwe,-24.53,32.98,68.09,86,0,1.45,MZ,1603585920
richards bay,-28.78,32.04,69.33,80,0,13.44,ZA,1603585920
pacific grove,36.62,-121.92,64.4,68,20,10.29,US,1603585920
vilhena,-12.74,-60.15,70.54,98,100,9.55,BR,1603585867
kavieng,-2.57,150.8,84.33,69,72,1.88,PG,1603585921
helong,42.54,129.0,47.59,48,0,12.3,CN,1603585921
bratsk,56.13,101.61,28.4,100,90,13.42,RU,1603585921
alofi,-19.06,-169.92,78.8,78,82,16.11,NU,1603585923
visnes,59.36,5.22,55.4,93,100,24.16,NO,1603585923
taltal,-25.4,-70.48,58.33,73,100,5.55,CL,1603585816
agidel,55.91,53.94,42.57,94,100,6.55,RU,1603585923
luena,-11.78,19.92,64.02,84,12,3.42,AO,1603585924
hambantota,6.12,81.12,79.07,81,82,11.21,LK,1603585924
coos bay,43.37,-124.22,57.0,71,1,14.99,US,1603585854
halifax,44.65,-63.57,55.99,100,100,1.99,CA,1603585885
caracuaro,19.01,-101.13,75.0,63,36,3.0,MX,1603585925
merrill,45.18,-89.68,30.2,58,1,4.27,US,1603585925
ahipara,-35.17,173.17,68.94,63,45,5.97,NZ,1603585925
luderitz,-26.65,15.16,61.81,70,53,18.28,NA,1603585716
gorontalo,0.54,123.06,89.37,55,78,0.98,ID,1603585927
tombouctou,20.0,-3.0,88.2,13,0,10.47,ML,1603585927
newcastle,-32.93,151.78,60.8,93,90,18.34,AU,1603585792
ust-tsilma,65.44,52.15,25.02,98,100,4.45,RU,1603585928
isla mujeres,21.23,-86.73,82.4,78,75,8.05,MX,1603585762
sedhiou,12.71,-15.56,77.29,79,0,4.34,SN,1603585929
calabozo,8.92,-67.43,75.25,93,30,1.36,VE,1603585930
okhotsk,59.38,143.3,39.65,81,100,16.73,RU,1603585930
mali,12.08,-12.3,63.0,64,0,0.67,GN,1603585930
veraval,20.9,70.37,80.17,60,34,5.5,IN,1603585930
prieska,-29.66,22.75,73.18,21,0,2.04,ZA,1603585931
wete,-5.06,39.73,76.15,84,92,6.58,TZ,1603585931
coquimbo,-29.95,-71.34,55.4,82,7,8.05,CL,1603585931
sterling,39.01,-77.43,62.01,59,90,14.99,US,1603585845
chulman,56.85,124.91,23.83,96,91,1.03,RU,1603585932
san juan,-31.54,-68.54,76.68,46,0,3.33,AR,1603585932
abalak,58.13,68.59,29.75,99,100,11.7,RU,1603585932
polis,35.04,32.43,73.4,56,20,5.82,CY,1603585932
tual,-5.67,132.75,82.89,73,35,4.88,ID,1603585933
oum hadjer,13.3,19.7,80.15,19,0,12.71,TD,1603585933
port hedland,-20.32,118.57,78.8,61,0,13.87,AU,1603585933
nyurba,63.28,118.33,23.45,97,96,5.5,RU,1603585933
cidreira,-30.18,-50.21,68.49,92,4,15.35,BR,1603585933
isla vista,34.41,-119.86,66.2,59,90,10.29,US,1603585934
bereznik,62.86,42.71,28.44,98,67,5.26,RU,1603585934
beloha,-25.17,45.05,68.2,82,88,6.8,MG,1603585934
laguna,38.42,-121.42,71.6,52,1,11.41,US,1603585676
karlskrona,56.16,15.59,46.4,100,78,2.24,SE,1603585935
lakefield,43.68,-95.17,26.6,79,90,4.7,US,1603585935
lorengau,-2.02,147.27,85.86,59,40,6.51,PG,1603585800
mandalgovi,45.76,106.27,37.29,63,17,7.14,MN,1603585936
bathsheba,13.22,-59.52,82.4,74,40,24.16,BB,1603585936
lata,40.16,-8.33,62.01,87,97,3.0,PT,1603585936
bilibino,68.05,166.44,21.74,88,6,1.52,RU,1603585928
beyneu,45.32,55.2,54.14,50,98,10.94,KZ,1603585937
buraydah,26.33,43.98,59.0,41,0,7.56,SA,1603585761
luis correia,-2.88,-41.67,80.01,82,59,13.96,BR,1603585937
koungou,-12.73,45.2,78.8,74,90,9.17,YT,1603585937
anadyr,64.75,177.48,23.0,92,90,4.47,RU,1603585938
chapais,49.78,-74.85,26.6,73,90,11.41,CA,1603585938
kaeo,-35.1,173.78,67.95,62,5,7.72,NZ,1603585938
saldanha,-33.01,17.94,62.6,72,0,4.7,ZA,1603585938
mao,39.89,4.27,64.4,68,0,16.11,ES,1603585938
safaga,26.73,33.94,78.8,39,0,10.29,EG,1603585939
ritchie,-29.04,24.6,78.8,31,71,11.41,ZA,1603585939
kalabo,-14.97,22.68,69.06,25,100,4.5,ZM,1603585939
paita,-5.09,-81.11,62.76,84,26,11.41,PE,1603585939
shimoda,34.67,138.95,62.6,63,75,13.87,JP,1603585939
riyadh,24.69,46.72,59.0,38,0,2.86,SA,1603585690
nikel,69.41,30.22,35.6,93,100,17.22,RU,1603585940
daultala,33.19,73.14,61.0,62,0,5.82,PK,1603585940
anakapalle,17.68,83.02,77.0,100,75,3.36,IN,1603585940
zlobin,45.29,14.65,57.99,93,75,6.93,HR,1603585941
martapura,-3.42,114.85,80.6,88,99,4.7,ID,1603585941
blahodatne,50.66,24.25,46.83,90,37,3.27,UA,1603585941
san carlos de bariloche,-41.15,-71.31,44.6,80,75,16.11,AR,1603585807
nago,26.59,127.98,73.4,64,1,11.41,JP,1603585941
sisimiut,66.94,-53.67,22.68,89,0,13.35,GL,1603585743
huarmey,-10.07,-78.15,62.87,84,72,7.85,PE,1603585942
mehamn,71.04,27.85,36.55,82,100,11.68,NO,1603585942
bud,39.45,-86.18,48.99,61,40,6.93,US,1603585942
oktyabrskoye,43.06,44.74,39.2,80,86,6.71,RU,1603585943
jacareacanga,-6.22,-57.75,72.84,97,80,1.39,BR,1603585943
kavaratti,10.57,72.64,81.66,69,0,6.64,IN,1603585943
chunhuhub,19.55,-88.68,75.15,97,100,3.76,MX,1603585943
chegdomyn,51.12,133.02,40.68,66,19,8.43,RU,1603585944
sitka,57.05,-135.33,42.8,38,1,1.05,US,1603585726
kangundo,-1.3,37.35,64.4,93,90,3.36,KE,1603585944
kumano,34.34,132.59,57.2,58,20,4.7,JP,1603585944
surat,21.17,72.83,75.94,50,0,5.44,IN,1603585813
broken hill,-31.95,141.43,53.6,58,90,19.46,AU,1603585730
niono,14.25,-5.99,81.57,14,90,9.95,ML,1603585945
udachnyy,66.42,112.4,8.6,92,0,6.71,RU,1603585879
rocha,-34.48,-54.33,58.86,97,23,3.62,UY,1603585885
inuvik,68.35,-133.72,23.0,67,75,4.7,CA,1603585747
pacifica,37.61,-122.49,64.4,68,20,17.22,US,1603585946
san luis,-33.3,-66.34,62.78,89,100,22.44,AR,1603585808
tizapan el alto,20.17,-103.07,82.4,23,5,4.7,MX,1603585947
